Team Name,Team Member 1 Name,Team Member 2 Name,Team Member 3 Name,Title,Subtitle,Project Description,Project Links,Video Demo,Prizes
Stack Overflowers,Shagil Islam,Shadan Akhtar,Yousuf Minhaj Khan,Mnemosyne - The AI Memory Prosthetic,"Instead of a simple reminder app, Mnemosyne is an ""Always-On"" Multi-Agent System that runs on an early-stage Alzheimer’s/Dementia patients' phone (or wearable) and passively ""listens"" to conversations and ""sees"" the environment (via camera/audio) to provide real-time context cues to the patient before they get confused.","We've added a detailed description about the entire project in this public README: https://github.com/shagil77/mnemosyne

Mnemosyne: The Gemini 3 Memory Prosthetic 🧠✨

A real-time ""Cognitive Prosthetic"" that leverages Gemini 3's 2M+ context window to restore dignity and social connection for dementia patients.

---

The Mission (Problem & Impact): Dementia doesn't just steal memories; it steals the confidence to interact with the world. Patients often face the ""Stranger in the Mirror"" problem—failing to recognize loved ones, which leads to social withdrawal and rapid cognitive decline. Mnemosyne acts as an invisible, empathetic friend that whispers vital context (names, shared memories, and emotional cues) into a patient’s earpiece in real-time, allowing them to navigate life with independence and dignity.

---

Technical Architecture: Mnemosyne uses a Hierarchical Multi-Agent System designed to process a live multimodal stream with extreme efficiency.

1. Perception Agent (Gemini 3 Flash)

* Role: Handles the high-frequency multimodal ""Passive Listening"" phase.

* Capability: Processes sub-second video/audio frames to detect faces, voices, and environmental ""vibes."" It outputs structured JSON only when ""High-Signal"" entities (like a person entering the room) are detected.

2. Context Agent (Gemini 3 Pro)
* Role: The ""Active Reasoning"" brain.

* Gemini Advantage: Utilizes the 2M+ context window to maintain a ""Living Knowledge Graph"" of the patient’s entire life history.
* Frugal Relevance Filter: We engineered a custom filter that reduces token usage by intelligently deciding when to trigger deep memory retrieval vs. remaining in a low-power idle state.

3. Whisper Agent (Gemini 3 Pro)
* Role: Natural Language Generation with high Emotional EQ.

* Output: Decides what to whisper to the patient to minimize cognitive load while maximizing social success (e.g., ""That's your grandson, Rahul. He was here yesterday."").

---

Safety & Monitoring (Weights & Biases)
We integrated **Weights & Biases (W&B) to move beyond a simple prototype into a safety-first HealthTech solution:

* Memory Confidence: Tracks how accurately the AI is identifying entities.
* Hallucination Guardrails: Logs AI reasoning paths to ensure whispers are grounded in the patient's actual history.
* Emotional Heatmaps: Provides caregivers with a dashboard of the patient's mood and engagement trends throughout the day.

---

Tech Stack
* Core AI: Google Gemini 3.0 Pro & Flash (Multimodal Preview).

* Observability: Weights & Biases (Trace & Dashboarding).
* Frontend: Vite, React (Glassmorphism & High-Contrast UI for accessibility).
* Backend: Python 3.10+, FastAPI.
* Deployment: Optimized for low-latency edge processing.

---

Mnemosyne doesn't just use AI to answer questions; it uses Gemini 3 to anticipate human needs. By bridging global knowledge (recognizing a face) with private memory (mapping that face to a grandson), we’ve created a ""Zero-UI"" interface where the technology learns the patient, not the other way around.

Submission for the Global GenAI Hackathon hosted by Machine Learning Kolkata.","https://github.com/shagil77/mnemosyne,https://mnemosyne-frontend-677184796940.us-central1.run.app/",https://youtu.be/_JeuQl3rqYM?si=r4iOh2RXDTaBXm-R,1st wandb track
Beginny,Akanksha Kumari,Tushar Vaskar Sharma,,StudyBee,"StudyBee is an AI study companion that turns focus into a friendly competition by tracking learning habits, generating AI insights, and ranking students on shared leaderboards.","This project is an AI-powered student productivity tracker made as a Chrome extension. It tracks browsing activity and sort into learning, distraction, or mixed usage and gives real-time feedback through a clean, interactive dashboard. The platform also adds a competitive aspect by letting users create groups, compare their progress on leaderboards , and stay accountable together. It pushes notification alerts when user is distracted while having a low learning time. Using Generative AI (Gemini), the system displays daily motivation, weekly reflections through a dashboard of learning vs distracted, and an AI study coach that students can talk to. Overall, the project combines tracking behaviour, AI insights, and gamification to make studying more engaging and self-aware.",https://github.com/tusharvaskarsharma/StudyBee.git,https://youtu.be/oebV_2La9vg?si=gDIMzg9srVdGpH5O,1st google track
Code Matrix,Ayush Kumar,Dhiraj Kumar Chowdhury,,DocAI — AI-Powered Clinical Health Intelligence,"DocAI turns medical reports and scans into clear, traceable health insights using AI you can actually trust.","DocAI is built to help people make sense of their medical reports when they need clarity the most. By allowing users to upload blood reports or medical images, DocAI carefully extracts key health markers and explains them in simple, understandable language, helping users see what matters and what steps they can take next.

All analysis is handled securely on the backend using Google Gemini, and every AI decision is traced with Weights & Biases (W&B Weave) to ensure transparency and reliability. By combining thoughtful AI with traceability and a calm, user-first experience, DocAI aims to make early health awareness and preventive care more approachable, respectful, and accessible.

GitHub Link: https://github.com/ayushkumar2601/DocAI
Live Link: https://docaihealth.vercel.app
X post: https://x.com/notmuchayush/status/2004456915812958476?s=20",https://docaihealth.vercel.app/,https://www.youtube.com/watch?v=C8qsbIZCLR0,
DEV NEXUS,Amitava Datta,Pranay De,Srinjinee Mitra,CivicPulse: AI-Powered Civic Engagement for Smarter Communities,"CivicPulse reconnects citizens with their local government by transforming the often frustrating process of reporting public issues into a simple, transparent, and rewarding collaboration, using AI to help everyone work together to build safer and more beautiful communities.","CivicPulse is a comprehensive, AI-powered Progressive Web App (PWA) with TWA features designed to revolutionize how local communities report, manage, and resolve civic issues. It creates a transparent and efficient three-node network that connects Citizens, Municipal Officials, and Field Supervisors, ensuring accountability and engagement at every step and also maintain a trust between government and citizen.

The platform is built on a ""three-faced"" model, providing a tailored experience for each user role:
1. For Citizens: An interactive, gamified mobile-first experience to report issues, track their resolution in real-time, and earn rewards for contributing to their community.
2. For Municipal Officials: A powerful administrative dashboard to manage incoming reports, assign tasks to field staff or supervisors, and monitor overall performance with detailed analytics.
3. For Field Supervisors: A streamlined work queue to receive assignments, submit completion reports with photo evidence, and compete on a performance-based leaderboard.

The application follows a seamless workflow powered by AI:

1. AI-Assisted Reporting (Citizen): A citizen spots an issue (e.g., a pothole). They use the app to capture photos, record audio notes, and select a category. Our AI engine, powered by Google's Gemini model, instantly analyses the submission to:
o Validate the image's relevance (whether the image actually represent a issue or not) and assign a severity score (1-10). If the image is of any random person or object it will be rejected during submission and no issue will be generated.
o Transcribe audio notes (can be in any language including regional languages like Hindi, Bengali etc.) into text.
o Checks whether the audio is relevant to the image or not.
o Determine an intelligent priority level (Low, Medium, High).
o Generate a concise, descriptive title with a ticket ID.

2. Sorting and Assignment (Municipal Official): The validated report appears in the official's ""Sorted Work Queue."" They can view all AI-generated details, see how many other citizens have ""joined"" the report, and assign it to the appropriate supervisor with a deadline.

3. Resolution and Verification (Field Supervisor): The ticket appears in the supervisor's personal dashboard. After completing the work, they submit a completion report with ""after"" photos. To ensure authenticity, our AI performs:
o AI Image Detection: Rejects submissions with AI-generated images and penalizes the supervisor's ""Trust Score.""
o Completion Analysis: Cross-validates the ""before"" and ""after"" photos to confirm the work was done correctly.

4. Final Approval & Feedback (Official & Citizen): The official reviews the supervisor's report, aided by the AI analysis. Upon approval, the ticket is marked as ""Resolved,"" and the supervisor earns ""Efficiency Points."" The original reporter i.e., the citizen is then notified and can provide a star rating, which directly influences the supervisor's ""Trust Score.""
Highlighting Features:
o Gamification Engine: In addition to simple reporting, CivicPulse also provides a rewarding and competitive environment where:
o Citizens earn Utility Points for valid reports, which can be redeemed for local vouchers (integration with Blockchain currency in future), and unlock Badges for achievements.
o Supervisors earn Efficiency Points for timely, high-quality work, competing on a dedicated leaderboard.
o A universal Trust Score penalizes misuse (e.g., spam reports, fraudulent photos) to maintain system integrity.
o Hybrid AI Priority Engine: Our intelligent triage system combines multiple data points—image severity, textual keywords, issue category, and community ""join"" count—to create a priority level that is far more accurate and effective than manual sorting as here priority will increase based on the number of users that joined the issue.","https://github.com/AmitavaDatta2004/Civic-Nexus , https://civic-pulse-seven.vercel.app/",https://youtu.be/AZlao4by4-c?si=bsuGyYa4IUe3hOZ_,2nd google track
Pokemon,Fardin Rahaman,Ashish Karmakar,,Flow Do,"FlowDo is an AI-powered visual learning flow builder that lets you create interactive study plans by connecting nodes, upload files to generate flows, chat with your flow for context-aware answers, and automatically organize your content with AI assistance","FlowDo is an AI-powered visual learning flow builder that helps students and educators create interactive study plans by connecting concepts as nodes on a canvas. It integrates Google Gemini AI to generate explanations, quizzes, and study plans from topics or uploaded files (PDF/TXT/MD), features a RAG-based chat system that answers questions using visible node content, and includes auto-layout algorithms for organizing complex flows. Built with React, TypeScript, and Firebase for cloud storage, it combines graph visualization, AI content generation, and intelligent organization to transform how people structure and interact with learning materials

Here is our github project link: https://github.com/hawatri/FlowDo.git",https://flowdo.hawatri.in/,https://youtu.be/BKTN3upEgY0,3rd google track
Mambas,Aryan Biswas,Nikhil Kumar Ria,Ayush Kumar,PixelPrompt,"PixelPrompt is an AI-powered educational tool that instantly converts any written text into a fully playable, interactive video game using Google Gemini 2.5 for logic and generative AI for real-time graphics.","PixelPrompt is an AI-powered ""Text-to-Game"" engine designed to revolutionize the EduTech sector. It allows educators and students to instantly convert abstract concepts into fully playable, interactive video games just by typing a sentence.

Traditional education often struggles with engagement because creating interactive software requires coding skills that most teachers lack. PixelPrompt solves this by using Google Gemini 2.5 Flash to analyze natural language (e.g., ""The white blood cells hunt the virus"" or ""Sort the waste into plastic and organic"") and dynamically construct a game from scratch.

The engine automatically selects the best gameplay mechanic (Shooter, Sorter, Dodger, Connector), generates unique pixel-art assets in real-time using generative image diffusion, and builds a working executable in seconds. This democratizes game development, turning passive textbook reading into active, gamified learning without requiring a single line of code.

Key Features:

Instant Gamification: Transforms text prompts into one of 6 unique game modes.

Real-Time Asset Generation: Creates custom sprites and visuals on the fly.

Smart Assessment: Tracks player reaction times and accuracy for psychometric profiling.

Zero-Code Platform: Accessible to any teacher or student with a computer.",https://github.com/CodesByAryan/PixelPrompt,https://www.youtube.com/watch?v=W8yopEFuyuU,
Nano pineapple,Poushali Bhattacharyya,Mounasuvra Banerjee,Souradip Pal,Ramen Art,Manga creation app using AI,"🍜 Ramen Art AI

Ramen Art AI is a powerful web application that combines AI-driven storytelling, character creation, and manga generation to help creators bring their narratives to life. Built with modern web technologies, it offers an intuitive interface for generating stories, creating original characters (OCs), and managing creative projects with a full-fledged manga creation suite.

✨ Features
📖 Story Generation & Refinement

AI-Powered Story Creation
Generate complete stories with customizable parameters such as genre, tone, length, and target audience.

AI Story Refinement
Refine raw prompts into detailed, structured narratives using Google Gemini AI.

Full-Context Prompting
Automatically builds rich prompts including story metadata, world-building, arc details, and scene summaries.

🎨 OC Maker (Original Character Creator)

AI Image Generation
Generate high-quality character artwork using Z-Image groups and Gemini Image models.

Flexible Input Methods

Free-text custom descriptions

Dropdown selections for:

Gender, Style, Age

Body Type, Hair, Eyes, Face

Skin Tone, Clothing, Accessories

AI Prompt Optimization
Enhance character descriptions using Gemini-powered refinement.

Character Library
Save OCs per story and reuse them as visual references during manga generation.

🖌️ Manga Creator (Interactive Canvas)

Interactive Canvas
Drag-and-drop elements with fully customizable panel layouts.

Automated Panel Generation (1-Click Workflow)
A streamlined 3-step AI pipeline:

Suggest Action – AI analyzes story context to propose the next panel action

Optimize Prompt – Converts the action into a detailed image prompt

Generate Image – Uses Gemini 2.5 Flash Image to create the panel

Character Consistency
Automatically uses saved character images as visual references.

Page-Level Generation
Generate complete manga pages with consistent style and layout.

Real-Time Updates
Generated images are instantly applied to the selected panels on the canvas.

🎯 Smart Enhancements

AI Background Removal using Cloudinary

Responsive, Modern UI with glassmorphism design

Toast Notifications for clear user feedback",https://github.com/ramenartai/Ramen_Art/,https://www.youtube.com/watch?v=n8K_2LgP61A,2nd wandb track
Han Solo,Priyam Pandey,,,Med Sage,"MedSage is a lightweight clinical triage tool that converts raw patient transcripts into concise, risk-focused medical summaries using Gemini, with full AI performance tracing via Weave.","MedSage is a web-based application designed to help clinicians quickly understand complex patient histories. Doctors can upload medical transcripts as text, PDF, or DOCX files, which are then analyzed using Google Gemini to generate a short, clinically useful summary, key symptoms, conditions, medications, and an overall risk assessment.
The application emphasizes clarity, speed, and accountability. Every AI inference is automatically logged and traced using Weave, allowing developers and judges to inspect model behavior, prompts, and outputs for transparency and evaluation. MedSage demonstrates how generative AI can be safely integrated into healthcare workflows while maintaining observability and performance insights.",https://huggingface.co/spaces/Priyam2307/Med_Sage,https://youtu.be/dGxCBcsHeqU?si=5cW9MSOO2Bz5kqEJ,3rd wandb track
Team Envision,Sougata Sarkar,Sayan Debnath,Sanish Bhagat,Health Sathi,Healthcare simplified with multimodal AI.,"Health Sathi: Healthcare simplified with Multimodal AI
The Problem: Uncertainty among patients regarding their medical reports and diagnosis.
In the current healthcare landscape, there is a huge ""clarity gap"" between medical professionals, medical reports and patients. Medical reports are often dense with handwritten prescriptions with unclear handwriting and instructions, being very difficult to understand, and lab results can feel very complex to extract. For many, especially those in regional areas and senior citizens, this confusion is compounded by language barriers and unclear instructions. When patients don’t fully understand their diagnosis or medication schedules, it leads to anxiety, non compliance and health complications.
Our Solution: Health Sathi : Your digital health companion.
Health Sathi (meaning ""Health Companion"") is an innovative, multimodal AI assistant designed to bridge this gap. By leveraging the advanced reasoning and vision capabilities of Google’s Gemini 2.5 and 3 Flash models, Health Sathi transforms complex medical data into actionable, easy-to-understand guidance. It doesn't just process text; it ""sees"" prescriptions, ""hears"" symptoms, and ""reads"" clinical reports to provide a holistic view of a patient’s health.

Unique Selling Points:
1. Empowering Patients: Health Sathi makes healthcare accessible through intuitive multimodal inputs:
•	Vision & Voice: Patients can upload photos of medicine bottles or record their symptoms naturally using speech-to-text.
•	Breaking Barriers: To ensure no one is left behind, the AI translates clinical advice into 10+ Indian regional languages (such as Hindi, Tamil, Marathi and other Indian regional language) unlike any other solutions.
•	Accessibility: With integrated Text-to-Speech (TTS), users can listen to their guidance—a vital feature for the elderly or visually impaired.
•	Privacy & Portability: Using IndexedDB, the app works offline, storing records locally on the device. Patients can also generate professional PDF assessments to share with family or caregivers.
2. Supporting Doctors: The platform is designed to complement, not replace, human expertise:
•	Triage Dashboard: Doctors are presented with a prioritized list, distinguishing between Critical and Pending cases to optimize their workflow.
•	Clinical Verification: Every AI insight is anchored in a RAG (Retrieval-Augmented Generation) framework. This ""Health Sathi Medical Library"" ensures that responses are grounded in established medical protocols (e.g., Cardiology or Renal guidelines), significantly reducing the risk of hallucinations.
•	One-Click Actions: Doctors can quickly approve, modify, or escalate AI assessments, maintaining total clinical oversight.
The Innovation Stack:
Health Sathi is built on a high-performance, modern tech stack designed for speed and responsiveness:
•	Core: Built with React 19 and TypeScript for a robust, type-safe frontend experience.
•	AI Engine:  We are utilizing Gemini-3-Flash for rapid document analysis and Gemini-2.5-Flash-TTS for natural voice generation.
•	State & Storage: Zustand manages the application state, while IndexedDB provides a secure, client-side NoSQL database for local-first data persistence.
•	Styling: A custom-animated UI powered by Tailwind CSS ensures the experience is as comforting as it is functional.
The Vision:
Health Sathi represents a shift toward empathetic tech. By combining the power of Large Multimodal Models (LMMs) with a human-centric design, the project ensures that medical clarity is no longer a luxury, but a standard for everyone, regardless of their language or technical literacy.

",https://health-sathi-rosy.vercel.app/,https://youtu.be/Or58CVNoXNc,
White Hats 2.0,Prajes Das,Shreyash Tiwari,Mohini Mishra,AI Powered Smart Exercise System with Personalized Coaching Assistant.,AI-Driven Personalized Fitness & Coaching System with Real Time Feedback Analysis using Gemini and Weave for statistical formulation.,"INTRODUCTION: Our AI powered smart exercise system represents a significant advancement in integrating technology with wellness, specifically yoga practice. This innovation combines embedded sensors, artificial intelligence (AI), and smart watch integration to provide users with a comprehensive and personalized exercise  experience. The device’s embedded sensors monitor posture, balance, and pressure distribution, feeding data to an AI-driven application that delivers real-time feedback and recommendations. By syncing with smart watches, the software also tracks heart rate, calorie expenditure, and activity levels, offering a holistic view of the user's fitness journey.
A key feature of the AI powered smart exercise is its ability to deliver curated yoga and exercising content from expert instructors. This vast library of guided sessions is tailored to individual skill levels, goals, and preferences. The AI system continuously learns from user interactions, refining its recommendations to maintain relevance and engagement, thereby enhancing practice effectiveness and user motivation. Affordability is a core consideration in the software’s design, achieved through cost-effective materials and scalable manufacturing. By leveraging existing smart watch technology, the need for additional devices is minimized, further reducing costs.

PROBLEM BEING SOLVED: Exercise is widely recognized for its physical and mental health benefits; however, incorrect posture, lack of expert supervision, and inconsistent practice significantly reduce its effectiveness and may lead to injury. Traditional yoga mats are passive tools that provide no feedback, and online classes , while helpful, lacked personal guidance and real-time correction. Hiring personal instructors offers quality guidance but is cost-prohibitive and inaccessible for many users.

Existing smart fitness solutions are often fragmented, expensive, or dependent on multiple devices, increasing complexity and reducing adoption. There is a clear need for a unified, intelligent, and affordable system that can provide real-time feedback, adaptive training, and progress tracking without requiring constant human supervision.

PROPOSED SOLUTION: SOLMat (our device) addresses these challenges by the integration of technology with wellness practices that has seen significant advancements, particularly in the realm of exercise. The system focuses on the development of an Artificial Intelligence (AI)-based software solution that enhances user experience by integrating with smartwatches for comprehensive progress tracking and providing expert-curated wellness content. The primary objective of this innovation is to make advanced in house exercise practice accessible and affordable to a broader audience.

SYSTEM ARCHITECTURE:

The SOLMat comprises the following features:

1.Embedded sensors and camera that monitors physical parameters and capture's users movements for posture correction.
2.AI powered guidance and personalized yoga sessions that ensures high-quality engaging experience.
3.Affordability and accessibility using cost-effective hardware and existing wearable devices.
4.Voice interaction module that provides real-time guidance and accepts voice commands.
5.Smartwatch integration that collects biometric data to complement posture analytics.

KEY TECHNICAL DETAILS:
AI Model:

*Model Used: Gemini-2.0-Flash

*Purpose: Enables high-speed, low-latency inference for real-time posture correction, intelligent feedback generation, and automated workout routine creation.
Justification: Optimized for responsiveness and scalability, ensuring instant corrective guidance and adaptive workout recommendations without perceptible lag.

*Input Data:

*Source: MediaPipe and YOLO Pose Estimation Framework
*Data Type: Raw two-dimensional Cartesian coordinate pairs (x, y) extracted from detected body landmarks such as shoulders, elbows, hips, and knees, used for posture analysis and movement tracking.

*Output Mechanism:

*Feedback Type: Dynamic voice guidance and adaptive workout instructions
Delivery Method: Text-to-speech engine via the speak() function, powered by AI-generated responses from the Gemini API.
*Weight–Bias Analytics and Monitoring:
Tool Used: Weights & Biases (W&B)
Purpose: Used in conjunction with the weight–bias decision tool to log, monitor, and analyze workout performance metrics across sessions.
*Tracked Parameters:
Number of repetitions performed
Duration of each workout session
Detected posture states and correction frequency
Exercise type and completion status
Justification: W&B enables persistent storage and visualization of workout statistics, allowing longitudinal performance tracking and facilitating data-driven refinement of AI decision thresholds and weight–bias parameters for improved personalization.

PERSONALIZED AI ASSISTANT:

It is a revolutionary fusion of ancient practice and cutting-edge technology, designed to elevate your wellness journey. It is a sophisticated network of embedded sensors, designed to track your movements with pinpoint accuracy. These sensors capture data on your body alignment, weight distribution, and even micro-adjustments during poses, all in real time. As you move through your practice, the AI processes this data and provides immediate, personalized feedback through a connected app or integrated audio system. Whether you’re holding a challenging pose, the AI ensures that you are always in optimal alignment, reducing the risk of injury and enhancing the effectiveness of each posture. It’s also equipped to monitor your breathing patterns and heart rate, giving you the overall wellness. The AI can detect subtle changes in your breath and suggest modifications to your practice. This integration of breath and movement helps you achieve a more mindful practice, where body and mind are in perfect balance. This software can also count the number of postures you have performed and automatically switches to another posture once repetition goals are met.

SMART WATCH INTEGRATION:

The Smart Yoga Mat integrates seamlessly with smart watches, allowing for comprehensive tracking of additional metrics such as heart rate, calories burned, and overall activity levels.
This integration provides a holistic view of the user’s fitness journey, combining data from both the mat and the smart watch.

ADVANTAGE OVER NORMAL CURRENT INDUSTRY DEVICES : 

An AI-powered exercising assistant offers significant advantages over traditional, standard methods, primarily by providing personalized feedback and guidance. Here's a breakdown:
 Real-time Posture Correction: 
1.Unlike a regular gym trainer, an AI-powered exercising coach uses sensors to track your movements and alignment.
2. It provides instant feedback, helping you correct your poses and prevent injuries.
Personalized Guidance: 
3. AI algorithms can adapt to your skill level, offering tailored routines and adjustments.
4. This eliminates the need for constant in-person instruction, making it ideal for home practice.
Progress Tracking: 
5. SOLMat can record your sessions, track your progress, and identify areas for improvement.
6.This data-driven approach helps you stay motivated and achieve your fitness goals.
Enhanced Safety: 
7.By providing real-time corrections, the device minimizes the risk of injury from incorrect posture.
8. This is particularly beneficial for beginners or those with physical limitations.
Increased Engagement: 
9.The interactive nature of AI-powered coach can make exercise practice more engaging and enjoyable.
10.Features like audio prompts and haptic feedback can enhance the overall experience.
The gamified mode in our website also enables users to compete with their own self and make you exercising sessions much more engaging and enjoying.
Convenience: 
11.Being able to have expert level feed back at any time, in your own home, adds a level of convience that is hard to overstate.
In essence, an AI-powered yoga mat transforms a passive tool into an active, intelligent guide, revolutionizing the way people practice yoga.

CONCLUSION:
By transforming a yoga mat into an intelligent training system, SoLMat bridges the gap between expert instruction and home-based practice.This report details the technical specifications of the Smart Yoga Mat, including sensor technology, AI algorithms, and smart watch integration protocols. It also emphasizes user experience design, focusing on ease of use and accessibility. Our Device aims to democratize access to high-quality practice, potentially impacting the wellness industry by making advanced exercise accessible and affordable to a wider audience.",https://github.com/prajesdas/AI-Driven-Smart-Yoga-Mat-for-Personalized-Yoga-Guidance-and-Progress-Analytics,https://youtube.com/shorts/NeV0AUD9Msw?feature=share,
